Industry,Year,Occupation,Employed_Residents
Accommodation & Food Services,2007,All Occupation Groups,123.10 
Accommodation & Food Services,2007,Associate Professionals & Technicians,3.40 
Accommodation & Food Services,2007,"Cleaners, Labourers & Related Workers",46.00 
Accommodation & Food Services,2007,Clerical Support Workers,5.70 
Accommodation & Food Services,2007,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2007,Managers & Administrators (Including Working Proprietors),10.00 
Accommodation & Food Services,2007,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2007,Plant & Machine Operators & Assemblers,2.90 
Accommodation & Food Services,2007,Professionals,1.10 
Accommodation & Food Services,2007,Service & Sales Workers,52.40 
Accommodation & Food Services,2008,All Occupation Groups,120.00 
Accommodation & Food Services,2008,Associate Professionals & Technicians,3.60 
Accommodation & Food Services,2008,"Cleaners, Labourers & Related Workers",45.60 
Accommodation & Food Services,2008,Clerical Support Workers,5.90 
Accommodation & Food Services,2008,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2008,Managers & Administrators (Including Working Proprietors),11.10 
Accommodation & Food Services,2008,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2008,Plant & Machine Operators & Assemblers,2.10 
Accommodation & Food Services,2008,Professionals,1.70 
Accommodation & Food Services,2008,Service & Sales Workers,48.30 
Accommodation & Food Services,2009,All Occupation Groups,124.90 
Accommodation & Food Services,2009,Associate Professionals & Technicians,4.30 
Accommodation & Food Services,2009,"Cleaners, Labourers & Related Workers",46.50 
Accommodation & Food Services,2009,Clerical Support Workers,6.20 
Accommodation & Food Services,2009,Craftsmen & Related Trades Workers,1.30 
Accommodation & Food Services,2009,Managers & Administrators (Including Working Proprietors),12.10 
Accommodation & Food Services,2009,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2009,Plant & Machine Operators & Assemblers,2.70 
Accommodation & Food Services,2009,Professionals,1.20 
Accommodation & Food Services,2009,Service & Sales Workers,50.60 
Accommodation & Food Services,2010,All Occupation Groups,128.90 
Accommodation & Food Services,2010,Associate Professionals & Technicians,9.20 
Accommodation & Food Services,2010,"Cleaners, Labourers & Related Workers",47.10 
Accommodation & Food Services,2010,Clerical Support Workers,6.20 
Accommodation & Food Services,2010,Craftsmen & Related Trades Workers,1.40 
Accommodation & Food Services,2010,Managers & Administrators (Including Working Proprietors),15.30 
Accommodation & Food Services,2010,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2010,Plant & Machine Operators & Assemblers,3.10 
Accommodation & Food Services,2010,Professionals,1.70 
Accommodation & Food Services,2010,Service & Sales Workers,45.00 
Accommodation & Food Services,2011,All Occupation Groups,135.20 
Accommodation & Food Services,2011,Associate Professionals & Technicians,11.30 
Accommodation & Food Services,2011,"Cleaners, Labourers & Related Workers",47.90 
Accommodation & Food Services,2011,Clerical Support Workers,7.60 
Accommodation & Food Services,2011,Craftsmen & Related Trades Workers,1.10 
Accommodation & Food Services,2011,Managers & Administrators (Including Working Proprietors),15.00 
Accommodation & Food Services,2011,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2011,Plant & Machine Operators & Assemblers,2.50 
Accommodation & Food Services,2011,Professionals,2.00 
Accommodation & Food Services,2011,Service & Sales Workers,48.00 
Accommodation & Food Services,2012,All Occupation Groups,129.30 
Accommodation & Food Services,2012,Associate Professionals & Technicians,10.30 
Accommodation & Food Services,2012,"Cleaners, Labourers & Related Workers",43.30 
Accommodation & Food Services,2012,Clerical Support Workers,7.00 
Accommodation & Food Services,2012,Craftsmen & Related Trades Workers,1.30 
Accommodation & Food Services,2012,Managers & Administrators (Including Working Proprietors),13.70 
Accommodation & Food Services,2012,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2012,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2012,Professionals,1.80 
Accommodation & Food Services,2012,Service & Sales Workers,49.60 
Accommodation & Food Services,2013,All Occupation Groups,135.10 
Accommodation & Food Services,2013,Associate Professionals & Technicians,9.70 
Accommodation & Food Services,2013,"Cleaners, Labourers & Related Workers",49.60 
Accommodation & Food Services,2013,Clerical Support Workers,8.10 
Accommodation & Food Services,2013,Craftsmen & Related Trades Workers,1.50 
Accommodation & Food Services,2013,Managers & Administrators (Including Working Proprietors),12.30 
Accommodation & Food Services,2013,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2013,Plant & Machine Operators & Assemblers,2.80 
Accommodation & Food Services,2013,Professionals,1.70 
Accommodation & Food Services,2013,Service & Sales Workers,49.30 
Accommodation & Food Services,2014,All Occupation Groups,137.10 
Accommodation & Food Services,2014,Associate Professionals & Technicians,13.00 
Accommodation & Food Services,2014,"Cleaners, Labourers & Related Workers",50.00 
Accommodation & Food Services,2014,Clerical Support Workers,8.30 
Accommodation & Food Services,2014,Craftsmen & Related Trades Workers,2.40 
Accommodation & Food Services,2014,Managers & Administrators (Including Working Proprietors),9.80 
Accommodation & Food Services,2014,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2014,Plant & Machine Operators & Assemblers,1.90 
Accommodation & Food Services,2014,Professionals,1.80 
Accommodation & Food Services,2014,Service & Sales Workers,50.00 
Accommodation & Food Services,2015,All Occupation Groups,139.10 
Accommodation & Food Services,2015,Associate Professionals & Technicians,10.80 
Accommodation & Food Services,2015,"Cleaners, Labourers & Related Workers",46.50 
Accommodation & Food Services,2015,Clerical Support Workers,7.30 
Accommodation & Food Services,2015,Craftsmen & Related Trades Workers,2.00 
Accommodation & Food Services,2015,Managers & Administrators (Including Working Proprietors),11.70 
Accommodation & Food Services,2015,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2015,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2015,Professionals,1.70 
Accommodation & Food Services,2015,Service & Sales Workers,56.90 
Accommodation & Food Services,2016,All Occupation Groups,138.20 
Accommodation & Food Services,2016,Associate Professionals & Technicians,10.40 
Accommodation & Food Services,2016,"Cleaners, Labourers & Related Workers",44.00 
Accommodation & Food Services,2016,Clerical Support Workers,6.90 
Accommodation & Food Services,2016,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2016,Managers & Administrators (Including Working Proprietors),11.60 
Accommodation & Food Services,2016,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2016,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2016,Professionals,1.60 
Accommodation & Food Services,2016,Service & Sales Workers,59.60 
Accommodation & Food Services,2017,All Occupation Groups,134.40 
Accommodation & Food Services,2017,Associate Professionals & Technicians,9.70 
Accommodation & Food Services,2017,"Cleaners, Labourers & Related Workers",40.30 
Accommodation & Food Services,2017,Clerical Support Workers,7.90 
Accommodation & Food Services,2017,Craftsmen & Related Trades Workers,2.10 
Accommodation & Food Services,2017,Managers & Administrators (Including Working Proprietors),12.70 
Accommodation & Food Services,2017,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2017,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2017,Professionals,1.90 
Accommodation & Food Services,2017,Service & Sales Workers,57.20 
Accommodation & Food Services,2018,All Occupation Groups,134.40 
Accommodation & Food Services,2018,Associate Professionals & Technicians,13.60 
Accommodation & Food Services,2018,"Cleaners, Labourers & Related Workers",38.60 
Accommodation & Food Services,2018,Clerical Support Workers,9.00 
Accommodation & Food Services,2018,Craftsmen & Related Trades Workers,2.20 
Accommodation & Food Services,2018,Managers & Administrators (Including Working Proprietors),10.30 
Accommodation & Food Services,2018,Other Occupation Groups Nes,0.00 
