Service Sectors,Age Group,Year,No. of employed,Gender
Wholesale & Retail Trade,15 - 19,2024,1.7,Male
Transportation & Storage,15 - 19,2024,0.3,Male
Accommodation & Food Services,15 - 19,2024,2.7,Male
Information & Communications,15 - 19,2024,0.2,Male
Financial & Insurance Services,15 - 19,2024,0.4,Male
Real Estate Services,15 - 19,2024,0.1,Male
Professional And Administrative & Support,15 - 19,2024,0.6000000000000001,Male
Wholesale & Retail Trade,20 - 24,2024,5.9,Male
Transportation & Storage,20 - 24,2024,1.6,Male
Accommodation & Food Services,20 - 24,2024,5.0,Male
Information & Communications,20 - 24,2024,3.4,Male
Financial & Insurance Services,20 - 24,2024,5.2,Male
Real Estate Services,20 - 24,2024,0.7,Male
Professional And Administrative & Support,20 - 24,2024,6.4,Male
Wholesale & Retail Trade,25 - 29,2024,11.3,Male
Transportation & Storage,25 - 29,2024,4.3,Male
Accommodation & Food Services,25 - 29,2024,3.6,Male
Information & Communications,25 - 29,2024,10.2,Male
Financial & Insurance Services,25 - 29,2024,12.5,Male
Real Estate Services,25 - 29,2024,1.9,Male
Professional And Administrative & Support,25 - 29,2024,16.7,Male
Wholesale & Retail Trade,30 - 34,2024,17.4,Male
Transportation & Storage,30 - 34,2024,5.9,Male
Accommodation & Food Services,30 - 34,2024,5.1,Male
Information & Communications,30 - 34,2024,10.0,Male
Financial & Insurance Services,30 - 34,2024,21.1,Male
Real Estate Services,30 - 34,2024,2.6,Male
Professional And Administrative & Support,30 - 34,2024,18.3,Male
Wholesale & Retail Trade,35 - 39,2024,21.7,Male
Transportation & Storage,35 - 39,2024,4.6,Male
Accommodation & Food Services,35 - 39,2024,5.6,Male
Information & Communications,35 - 39,2024,9.3,Male
Financial & Insurance Services,35 - 39,2024,19.9,Male
Real Estate Services,35 - 39,2024,3.2,Male
Professional And Administrative & Support,35 - 39,2024,18.1,Male
Wholesale & Retail Trade,40 - 44,2024,21.4,Male
Transportation & Storage,40 - 44,2024,4.3,Male
Accommodation & Food Services,40 - 44,2024,7.7,Male
Information & Communications,40 - 44,2024,8.4,Male
Financial & Insurance Services,40 - 44,2024,18.6,Male
Real Estate Services,40 - 44,2024,3.4,Male
Professional And Administrative & Support,40 - 44,2024,17.9,Male
Wholesale & Retail Trade,45 - 49,2024,21.2,Male
Transportation & Storage,45 - 49,2024,5.7,Male
Accommodation & Food Services,45 - 49,2024,7.8,Male
Information & Communications,45 - 49,2024,6.5,Male
Financial & Insurance Services,45 - 49,2024,15.7,Male
Real Estate Services,45 - 49,2024,3.8,Male
Professional And Administrative & Support,45 - 49,2024,16.4,Male
Wholesale & Retail Trade,50 - 54,2024,21.6,Male
Transportation & Storage,50 - 54,2024,6.3,Male
Accommodation & Food Services,50 - 54,2024,9.2,Male
Information & Communications,50 - 54,2024,5.8,Male
Financial & Insurance Services,50 - 54,2024,14.6,Male
Real Estate Services,50 - 54,2024,2.7,Male
Professional And Administrative & Support,50 - 54,2024,13.8,Male
Wholesale & Retail Trade,55 - 59,2024,17.3,Male
Transportation & Storage,55 - 59,2024,4.5,Male
Accommodation & Food Services,55 - 59,2024,10.2,Male
Information & Communications,55 - 59,2024,2.9,Male
Financial & Insurance Services,55 - 59,2024,8.0,Male
Real Estate Services,55 - 59,2024,3.2,Male
Professional And Administrative & Support,55 - 59,2024,11.2,Male
Wholesale & Retail Trade,60 - 64,2024,15.6,Male
Transportation & Storage,60 - 64,2024,4.6,Male
Accommodation & Food Services,60 - 64,2024,10.6,Male
Information & Communications,60 - 64,2024,1.5,Male
Financial & Insurance Services,60 - 64,2024,6.4,Male
Real Estate Services,60 - 64,2024,3.0,Male
Professional And Administrative & Support,60 - 64,2024,11.0,Male
Wholesale & Retail Trade,65 or over,2024,18.5,Male
Transportation & Storage,65 or over,2024,4.2,Male
Accommodation & Food Services,65 or over,2024,17.3,Male
Information & Communications,65 or over,2024,1.4,Male
Financial & Insurance Services,65 or over,2024,3.9,Male
Real Estate Services,65 or over,2024,3.4,Male
Professional And Administrative & Support,65 or over,2024,17.5,Male
Wholesale & Retail Trade,15 - 19,2023,2.9,Male
Transportation & Storage,15 - 19,2023,0.3,Male
Accommodation & Food Services,15 - 19,2023,3.8,Male
Information & Communications,15 - 19,2023,0.7,Male
Financial & Insurance Services,15 - 19,2023,0.3,Male
Real Estate Services,15 - 19,2023,0.1,Male
Professional And Administrative & Support,15 - 19,2023,0.9,Male
Wholesale & Retail Trade,20 - 24,2023,6.6,Male
Transportation & Storage,20 - 24,2023,2.1,Male
Accommodation & Food Services,20 - 24,2023,5.6,Male
Information & Communications,20 - 24,2023,4.0,Male
Financial & Insurance Services,20 - 24,2023,3.9,Male
Real Estate Services,20 - 24,2023,0.9,Male
Professional And Administrative & Support,20 - 24,2023,8.7,Male
Wholesale & Retail Trade,25 - 29,2023,11.4,Male
Transportation & Storage,25 - 29,2023,4.4,Male
Accommodation & Food Services,25 - 29,2023,3.4,Male
Information & Communications,25 - 29,2023,9.7,Male
Financial & Insurance Services,25 - 29,2023,13.9,Male
Real Estate Services,25 - 29,2023,1.3,Male
Professional And Administrative & Support,25 - 29,2023,17.7,Male
Wholesale & Retail Trade,30 - 34,2023,17.2,Male
Transportation & Storage,30 - 34,2023,6.7,Male
Accommodation & Food Services,30 - 34,2023,4.0,Male
Information & Communications,30 - 34,2023,10.1,Male
Financial & Insurance Services,30 - 34,2023,19.4,Male
Real Estate Services,30 - 34,2023,2.8,Male
Professional And Administrative & Support,30 - 34,2023,21.0,Male
Wholesale & Retail Trade,35 - 39,2023,18.8,Male
Transportation & Storage,35 - 39,2023,5.9,Male
Accommodation & Food Services,35 - 39,2023,6.2,Male
Information & Communications,35 - 39,2023,8.2,Male
Financial & Insurance Services,35 - 39,2023,18.0,Male
Real Estate Services,35 - 39,2023,3.7,Male
Professional And Administrative & Support,35 - 39,2023,18.1,Male
Wholesale & Retail Trade,40 - 44,2023,21.0,Male
Transportation & Storage,40 - 44,2023,6.6,Male
Accommodation & Food Services,40 - 44,2023,6.7,Male
Information & Communications,40 - 44,2023,8.8,Male
Financial & Insurance Services,40 - 44,2023,16.0,Male
Real Estate Services,40 - 44,2023,3.0,Male
Professional And Administrative & Support,40 - 44,2023,17.1,Male
Wholesale & Retail Trade,45 - 49,2023,21.0,Male
Transportation & Storage,45 - 49,2023,5.7,Male
Accommodation & Food Services,45 - 49,2023,6.0,Male
Information & Communications,45 - 49,2023,5.8,Male
Financial & Insurance Services,45 - 49,2023,15.7,Male
Real Estate Services,45 - 49,2023,3.7,Male
Professional And Administrative & Support,45 - 49,2023,16.1,Male
Wholesale & Retail Trade,50 - 54,2023,20.8,Male
Transportation & Storage,50 - 54,2023,6.9,Male
Accommodation & Food Services,50 - 54,2023,9.4,Male
Information & Communications,50 - 54,2023,4.5,Male
Financial & Insurance Services,50 - 54,2023,12.6,Male
Real Estate Services,50 - 54,2023,3.8,Male
Professional And Administrative & Support,50 - 54,2023,15.7,Male
Wholesale & Retail Trade,55 - 59,2023,18.6,Male
Transportation & Storage,55 - 59,2023,4.9,Male
Accommodation & Food Services,55 - 59,2023,8.4,Male
Information & Communications,55 - 59,2023,2.0,Male
Financial & Insurance Services,55 - 59,2023,9.6,Male
Real Estate Services,55 - 59,2023,3.2,Male
Professional And Administrative & Support,55 - 59,2023,13.7,Male
Wholesale & Retail Trade,60 - 64,2023,13.8,Male
Transportation & Storage,60 - 64,2023,4.1,Male
Accommodation & Food Services,60 - 64,2023,9.7,Male
Information & Communications,60 - 64,2023,1.5,Male
Financial & Insurance Services,60 - 64,2023,5.7,Male
Real Estate Services,60 - 64,2023,2.7,Male
Professional And Administrative & Support,60 - 64,2023,10.1,Male
Wholesale & Retail Trade,65 or over,2023,14.0,Male
Transportation & Storage,65 or over,2023,4.1,Male
Accommodation & Food Services,65 or over,2023,14.5,Male
Information & Communications,65 or over,2023,0.9,Male
Financial & Insurance Services,65 or over,2023,3.8,Male
Real Estate Services,65 or over,2023,3.7,Male
Professional And Administrative & Support,65 or over,2023,14.9,Male
Wholesale & Retail Trade,15 - 19,2022,1.7,Male
Transportation & Storage,15 - 19,2022,0.4,Male
Accommodation & Food Services,15 - 19,2022,2.3,Male
Information & Communications,15 - 19,2022,0.4,Male
Financial & Insurance Services,15 - 19,2022,0.6,Male
Wholesale & Retail Trade,20 - 24,2022,6.7,Male
Professional And Administrative & Support,20 - 24,2022,6.9,Male
Transportation & Storage,20 - 24,2022,1.8,Male
Accommodation & Food Services,20 - 24,2022,4.0,Male
Information & Communications,20 - 24,2022,4.1,Male
Financial & Insurance Services,20 - 24,2022,3.5,Male
Real Estate Services,20 - 24,2022,0.6,Male
Wholesale & Retail Trade,25 - 29,2022,11.1,Male
Professional And Administrative & Support,25 - 29,2022,12.9,Male
Transportation & Storage,25 - 29,2022,5.0,Male
Accommodation & Food Services,25 - 29,2022,4.1,Male
Information & Communications,25 - 29,2022,7.9,Male
Financial & Insurance Services,25 - 29,2022,10.3,Male
Real Estate Services,25 - 29,2022,1.4,Male
Wholesale & Retail Trade,30 - 34,2022,19.8,Male
Professional And Administrative & Support,30 - 34,2022,23.2,Male
Transportation & Storage,30 - 34,2022,6.4,Male
Accommodation & Food Services,30 - 34,2022,4.7,Male
Information & Communications,30 - 34,2022,8.5,Male
Financial & Insurance Services,30 - 34,2022,20.6,Male
Real Estate Services,30 - 34,2022,2.5,Male
Wholesale & Retail Trade,35 - 39,2022,20.3,Male
Professional And Administrative & Support,35 - 39,2022,24.4,Male
Transportation & Storage,35 - 39,2022,6.8,Male
Accommodation & Food Services,35 - 39,2022,6.9,Male
Information & Communications,35 - 39,2022,7.8,Male
Financial & Insurance Services,35 - 39,2022,18.7,Male
Real Estate Services,35 - 39,2022,3.6,Male
Wholesale & Retail Trade,40 - 44,2022,24.8,Male
Professional And Administrative & Support,40 - 44,2022,28.8,Male
Transportation & Storage,40 - 44,2022,7.2,Male
Accommodation & Food Services,40 - 44,2022,6.5,Male
Information & Communications,40 - 44,2022,9.2,Male
Financial & Insurance Services,40 - 44,2022,19.4,Male
Real Estate Services,40 - 44,2022,3.7,Male
Wholesale & Retail Trade,45 - 49,2022,24.5,Male
Professional And Administrative & Support,45 - 49,2022,28.2,Male
Transportation & Storage,45 - 49,2022,6.7,Male
Accommodation & Food Services,45 - 49,2022,7.8,Male
Information & Communications,45 - 49,2022,5.4,Male
Financial & Insurance Services,45 - 49,2022,15.9,Male
Real Estate Services,45 - 49,2022,4.6,Male
Wholesale & Retail Trade,50 - 54,2022,21.5,Male
Professional And Administrative & Support,50 - 54,2022,26.1,Male
Transportation & Storage,50 - 54,2022,6.4,Male
Accommodation & Food Services,50 - 54,2022,6.8,Male
Information & Communications,50 - 54,2022,4.4,Male
Financial & Insurance Services,50 - 54,2022,10.6,Male
Real Estate Services,50 - 54,2022,4.6,Male
Wholesale & Retail Trade,55 - 59,2022,18.9,Male
Professional And Administrative & Support,55 - 59,2022,23.9,Male
Transportation & Storage,55 - 59,2022,4.7,Male
Accommodation & Food Services,55 - 59,2022,7.2,Male
Information & Communications,55 - 59,2022,3.1,Male
Financial & Insurance Services,55 - 59,2022,8.8,Male
Real Estate Services,55 - 59,2022,2.8,Male
Wholesale & Retail Trade,60 - 64,2022,13.6,Male
Professional And Administrative & Support,60 - 64,2022,20.4,Male
Transportation & Storage,60 - 64,2022,5.9,Male
Accommodation & Food Services,60 - 64,2022,8.9,Male
Information & Communications,60 - 64,2022,1.5,Male
Financial & Insurance Services,60 - 64,2022,5.8,Male
Real Estate Services,60 - 64,2022,3.4,Male
Wholesale & Retail Trade,65 or over,2022,14.8,Male
Professional And Administrative & Support,65 or over,2022,21.1,Male
Transportation & Storage,65 or over,2022,3.4,Male
Accommodation & Food Services,65 or over,2022,12.5,Male
Information & Communications,65 or over,2022,1.2,Male
Financial & Insurance Services,65 or over,2022,4.2,Male
Real Estate Services,65 or over,2022,3.0,Male
Wholesale & Retail Trade,15 - 19,2021,1.7,Male
Professional And Administrative & Support,15 - 19,2021,11.6,Male
Transportation & Storage,15 - 19,2021,0.6,Male
Accommodation & Food Services,15 - 19,2021,2.9,Male
Information & Communications,15 - 19,2021,0.2,Male
Financial & Insurance Services,15 - 19,2021,0.6,Male
Real Estate Services,15 - 19,2021,0.1,Male
Wholesale & Retail Trade,20 - 24,2021,7.7,Male
Professional And Administrative & Support,20 - 24,2021,8.1,Male
Transportation & Storage,20 - 24,2021,2.4,Male
Accommodation & Food Services,20 - 24,2021,4.5,Male
Information & Communications,20 - 24,2021,4.8,Male
Financial & Insurance Services,20 - 24,2021,5.2,Male
Real Estate Services,20 - 24,2021,0.9,Male
Wholesale & Retail Trade,25 - 29,2021,13.7,Male
Professional And Administrative & Support,25 - 29,2021,16.0,Male
Transportation & Storage,25 - 29,2021,5.6,Male
Accommodation & Food Services,25 - 29,2021,3.5,Male
Information & Communications,25 - 29,2021,9.0,Male
Financial & Insurance Services,25 - 29,2021,14.2,Male
Real Estate Services,25 - 29,2021,2.2,Male
Wholesale & Retail Trade,30 - 34,2021,18.6,Male
Professional And Administrative & Support,30 - 34,2021,22.3,Male
Transportation & Storage,30 - 34,2021,7.5,Male
Accommodation & Food Services,30 - 34,2021,5.1,Male
Information & Communications,30 - 34,2021,8.8,Male
Financial & Insurance Services,30 - 34,2021,19.4,Male
Real Estate Services,30 - 34,2021,3.3,Male
Wholesale & Retail Trade,35 - 39,2021,20.7,Male
Professional And Administrative & Support,35 - 39,2021,26.0,Male
Transportation & Storage,35 - 39,2021,6.1,Male
Accommodation & Food Services,35 - 39,2021,5.2,Male
Information & Communications,35 - 39,2021,6.9,Male
Financial & Insurance Services,35 - 39,2021,19.0,Male
Real Estate Services,35 - 39,2021,2.9,Male
Wholesale & Retail Trade,40 - 44,2021,21.9,Male
Professional And Administrative & Support,40 - 44,2021,25.299999999999997,Male
Transportation & Storage,40 - 44,2021,6.6,Male
Accommodation & Food Services,40 - 44,2021,6.0,Male
Information & Communications,40 - 44,2021,6.3,Male
Financial & Insurance Services,40 - 44,2021,16.6,Male
Real Estate Services,40 - 44,2021,2.9,Male
Wholesale & Retail Trade,45 - 49,2021,21.5,Male
Professional And Administrative & Support,45 - 49,2021,25.4,Male
Transportation & Storage,45 - 49,2021,5.9,Male
Accommodation & Food Services,45 - 49,2021,6.8,Male
Information & Communications,45 - 49,2021,5.6,Male
Financial & Insurance Services,45 - 49,2021,12.5,Male
Real Estate Services,45 - 49,2021,3.4,Male
Wholesale & Retail Trade,50 - 54,2021,17.9,Male
Professional And Administrative & Support,50 - 54,2021,22.099999999999998,Male
Transportation & Storage,50 - 54,2021,3.4,Male
Accommodation & Food Services,50 - 54,2021,7.1,Male
Information & Communications,50 - 54,2021,4.0,Male
Financial & Insurance Services,50 - 54,2021,9.6,Male
Real Estate Services,50 - 54,2021,3.1,Male
Wholesale & Retail Trade,55 - 59,2021,16.3,Male
Professional And Administrative & Support,55 - 59,2021,21.0,Male
Transportation & Storage,55 - 59,2021,4.4,Male
Accommodation & Food Services,55 - 59,2021,7.9,Male
Information & Communications,55 - 59,2021,2.1,Male
